CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
43333	712.77087	1155508731205	0.56816	0.39911	712.65570	0.11517	927	1	0.57369	0.41612	1	0.59129	0.43364	1	0.58249	0.42488	1	0.26159	0.46292	15.62251	1.04923	1	0.65861	0.44115	18.38220	1.05784	1	-0.17772	0.01077	2.73629	0.00469	0	0.02872	0.00517	0.64924	0.00469	1	-0.56823	0.59500	0	TRIALSTART= Ture
43334	712.78717	1155508788647	0.56969	0.40146	712.65570	0.13147	927	1	0.57236	0.40958	1	0.59162	0.43080	1	0.58199	0.42019	1	0.26169	0.46310	15.74041	1.05895	1	0.65866	0.44111	18.34410	1.06238	1	-0.17772	0.01077	2.73629	0.00469	0	0.02804	0.00510	0.63260	0.00462	1	-0.56823	0.59500	0   0
43335	712.80359	1155508846431	0.57115	0.40031	712.65570	0.14789	927	1	0.58904	0.37702	1	0.57954	0.40297	1	0.58429	0.39000	1	0.26152	0.46292	16.13060	1.06349	1	0.65866	0.44108	18.19966	1.06691	1	-0.17772	0.01077	2.73629	0.00469	0	0.02804	0.00510	0.63260	0.00462	1	-0.56823	0.59500	0	0
43336	712.82013	1155508904599	0.57240	0.40062	712.65570	0.16443	927	1	0.58181	0.40788	1	0.58792	0.39952	1	0.58487	0.40370	1	0.26164	0.46277	16.04891	1.06802	1	0.65882	0.44055	18.33712	1.07145	1	-0.17772	0.01077	2.73629	0.00469	0	0.02804	0.00510	0.63260	0.00462	1	-0.56823	0.59500	0	0
43337	712.83667	1155508962674	0.57342	0.40037	712.65570	0.18097	927	1	0.58064	0.40176	1	0.58855	0.39358	1	0.58460	0.39767	1	0.26148	0.46278	16.12420	1.07717	1	0.65894	0.44068	18.37397	1.08060	1	-0.04092	0.00249	0.61761	0.00402	1	0.02804	0.00504	0.63260	0.00471	1	-0.56823	0.59500	0	0
43338	712.85297	1155509019978	0.57408	0.39916	712.65570	0.19727	927	1	0.57459	0.36796	1	0.58944	0.40120	1	0.58202	0.38458	1	0.26148	0.46277	16.05664	1.08632	1	0.65903	0.44056	18.34721	1.08975	1	-0.04092	0.00249	0.61761	0.00402	1	0.02804	0.00504	0.63260	0.00471	1	-0.56823	0.59500	0	0
43339	712.87006	1155509080249	0.57421	0.39743	712.65570	0.21436	927	1	0.55307	0.37407	1	0.59886	0.37577	1	0.57596	0.37492	1	0.26150	0.46286	16.13822	1.08575	1	0.65895	0.44055	18.23449	1.08917	1	-0.04092	0.00249	0.61761	0.00402	1	0.02804	0.00504	0.63260	0.00471	1	-0.56823	0.59500	0	0
43340	712.88574	1155509135447	0.57432	0.39605	712.65570	0.23004	927	1	0.55315	0.37447	1	0.59847	0.37914	1	0.57581	0.37680	1	0.26162	0.46269	16.23726	1.08517	1	0.65904	0.44072	18.28996	1.08406	1	-0.04092	0.00255	0.61761	0.00408	1	0.02670	0.00479	0.60103	0.00447	1	-0.56823	0.59500	0	0
43341	712.90234	1155509193756	0.57387	0.39505	712.65570	0.24664	927	1	0.56153	0.37075	1	0.57278	0.38924	1	0.56716	0.38000	1	0.26161	0.46262	16.23989	1.08006	1	0.65922	0.44073	18.25015	1.07895	1	-0.04092	0.00255	0.61761	0.00408	1	0.02670	0.00479	0.60103	0.00447	1	-0.56823	0.59500	0	0
43342	712.91870	1155509251307	0.57364	0.39378	712.65570	0.26300	927	1	0.56346	0.36285	1	0.57639	0.38407	1	0.56993	0.37346	1	0.26190	0.46271	16.36301	1.08014	1	0.65957	0.44181	18.51247	1.07902	1	-0.04092	0.00255	0.61761	0.00408	1	0.02670	0.00479	0.60103	0.00447	1	-0.56823	0.59500	0	0
