CNT,TIME,X,Y,TRIALS
43492,715.38293,0.22515,0.51536,0
43493,715.39941,0.22353,0.51282,0
43494,715.41589,0.231,0.52813,0
43495,715.43213,0.23258,0.50039,0
43496,715.44867,0.23258,0.50039,0
43497,715.46503,0.23092,0.50777,0
43498,715.48145,0.23923,0.52568,0
43499,715.49792,0.23923,0.52568,0
43500,715.51428,0.21999,0.52989,0
43501,715.53082,0.22528,0.52748,0
43502,715.54712,0.22528,0.52748,0
43503,715.5636,0.22979,0.53089,0
43504,715.58002,0.23331,0.53684,0
43505,715.59644,0.23331,0.53684,0
43506,715.61292,0.22518,0.50581,0
43507,715.62927,0.2264,0.45181,0
43508,715.64569,0.2264,0.45181,0
43509,715.66223,0.22124,0.44684,0
43510,715.67853,0.24743,0.44621,0
43511,715.69489,0.24795,0.44766,0
43512,715.71143,0.25033,0.47216,0
43513,715.72797,0.23362,0.47435,0
43514,715.74445,0.23521,0.47707,0
43515,715.76068,0.24208,0.48399,0
43516,715.77734,0.24944,0.4789,0
43517,715.79376,0.2504,0.48031,0
43518,715.81024,0.26187,0.47891,0
43519,715.8266,0.23554,0.47926,0
43520,715.8429,0.23454,0.47784,0
43521,715.85938,0.24323,0.47887,0
43522,715.87567,0.27888,0.4466,0
43523,715.89203,0.28014,0.44916,0
43524,715.90845,0.28395,0.44345,0
43525,715.92493,0.28185,0.44747,0
43526,715.94128,0.28327,0.45038,0
43527,715.95776,0.27681,0.43582,0
43528,715.97412,0.27478,0.43795,0
43529,715.99054,0.27478,0.43795,0
43530,716.00702,0.27311,0.44015,0
43531,716.0235,0.27369,0.44405,0
43532,716.04004,0.27239,0.44143,0
43533,716.05652,0.26837,0.45377,0
43534,716.07294,0.27338,0.44323,0
43535,716.08948,0.27338,0.44323,0
43536,716.1059,0.27636,0.44907,0
43537,716.12231,0.32028,0.41769,0
43538,716.13867,0.3214,0.42041,0
43539,716.15491,0.3868,0.39425,0
43540,716.17139,0.38488,0.38592,0
43541,716.18787,0.38488,0.38592,0
43542,716.20441,0.39579,0.39729,0
43543,716.22076,0.39612,0.38971,0
43544,716.23798,0.39586,0.38807,0
43545,716.25385,0.39708,0.38211,0
43546,716.2702,0.3887,0.37806,0
43547,716.28644,0.38714,0.37364,0
43548,716.30292,0.39155,0.37545,0
43549,716.31927,0.39311,0.38408,0
43550,716.33588,0.39311,0.38408,0
43551,716.35236,0.40244,0.38183,0
43552,716.36853,0.40258,0.39361,0
43553,716.38513,0.40325,0.39511,0
43554,716.40149,0.4376,0.34419,0
43555,716.41791,0.43407,0.34925,0
43556,716.43445,0.43365,0.34915,0
43557,716.45068,0.43025,0.3198,0
