TIME,LX,LY,RX,RY
554582407,88.1,647.14,80.43,655.92
554584392,90.74,650.05,91.38,661.83
554586427,92.8,650.46,87.05,663.01
554588432,98.94,653.7,91.52,658.87
554590412,92.06,650.43,83.19,660.94
554592413,95.1,657.14,83.82,652.38
554594414,91.84,653.99,91.41,668.63
554596415,102.74,662.25,86.62,662.2
554598412,93.73,661.97,89.3,664.12
554600413,92.45,656.1,83.21,652.56
554602414,99.64,658.81,81.2,657.53
554604411,95.72,654.74,76.19,651.52
554606412,99.27,653.4,79.33,651.9
554608400,94.64,651.04,85.27,652.98
554610394,93.57,653.34,78.54,653.88
554612391,92.39,653.44,80.16,658.21
554614391,92.41,664.32,83.6,663.05
554616429,89.08,658.78,87.82,657.28
554618412,93.73,658.19,84.49,668.57
554620422,90.17,655.6,86.33,653.9
554622422,96.39,666.22,78.02,655.16
554624421,86.03,648.14,83.36,664.35
554626424,94.81,654.43,80.35,653.59
554628431,93.31,655.14,87.91,660.05
554630423,87.4,649.76,84.84,658.34
554632422,88.35,653.66,86.8,660.85
554634423,96.38,666.73,81.44,665.14
554636422,99.59,652.03,84.05,656.37
554638423,89.65,655.54,87.14,663.27
554640398,94.76,653.69,84.1,659.52
554642426,86.43,652.69,84.91,662.62
554644421,86.91,660.53,81.56,662.3
554646424,90.13,656.56,81.91,653.16
554648425,99.15,644.16,82.71,662.17
554650421,95.46,655.86,82.43,650.25
554652420,99.59,651.03,82.37,655.7
554654421,96.48,651.89,78.3,653.25
554656424,94.8,658.78,84.21,659.34
554658401,98.63,656.07,79.76,654.91
554660430,100.48,660.96,85.83,656.68
554662422,104.77,650.06,85.26,649.99
554664424,97.09,665.43,83.01,654.38
554666433,101.86,653.78,77.11,642.63
554668487,93.97,659.18,78.88,656.44
554670434,102.19,669.64,75.21,649.69
554672451,105.3,658.53,82.15,657.55
554674431,102.76,663.33,84.1,653.88
554676433,98.47,656.39,86.29,653.95
554678434,96.09,660.78,80.6,656.9
554680435,97.69,651.7,77.39,650.39
554682436,105.45,655.04,81.18,653.15
554684433,95.91,655.01,84.9,654.19
554686434,98.64,648.2,84.9,653.85
554688432,98.52,647.01,87.53,654.38
554690431,102.2,653.1,80.07,651.7
554692430,110.02,651.18,82.85,648.65
554694430,107.19,652.33,75.31,644.41
554696434,106.67,648.41,70.47,650.68
554698435,109.34,656.58,78.62,640.67
554700432,93.56,650.44,75.34,648.96
554702431,96.8,656.7,78.68,649.26
554704432,103.25,652.18,67.7,653.66
554706437,98.81,649.13,67.21,647.15
554708430,103.82,654.15,72.86,650.72
554710412,102.73,649.84,70.06,647.95
554712454,112.57,658.62,79.66,652.96
554714447,103.05,651.59,71.26,642.45
554716444,101.15,651.62,67.93,646.51
554718444,101.82,647.84,70.12,642.01
554720444,96.27,649.39,74.98,647.43
554722442,108.95,647.04,68.96,639.94
554724442,103.72,656.85,77.64,650.99
554726443,101.98,642.09,73.43,651.71
554728443,109.77,650.21,72.97,645.81
554730444,104.03,651.65,69.69,641.77
554732445,100.93,645.59,72.27,654.94
554734445,104.57,648.05,62.84,648.98
554736444,105.52,648.36,70.23,640.79
554738440,106.5,648.15,65.43,647.86
554740441,109.53,654.13,62.86,647.36
554742441,104.57,650.79,60.78,647.42
554744442,100.64,659.64,67.87,657.73
554746442,108.08,660.36,61.33,643.45
554748442,99.77,660.95,65.23,641.92
554750443,106.3,654.56,64.18,644.98
554752486,107.51,652.72,66.06,647.45
554754442,112.32,655.73,69.48,641.71
554756463,105.6,656.82,67.42,647.23
554758441,102.79,649.31,70.87,649.67
554760463,109.15,651.71,65.6,648.23
554762452,104.66,653.24,62.91,650.36
554764444,110.73,659.84,70.09,646.6
554766453,113.13,650.89,64.31,642.9
554768437,111.83,657.41,65.8,646.4
554770456,105.95,652.69,54.34,638.55
554772454,109.72,651.09,70.28,647.55
554774456,115.6,651.29,65.66,643.97
554776454,111.53,645.8,63.77,638.57
554778455,110.67,651.37,66.89,639.2
554780455,109.55,655.9,65.21,647.43
554782454,105.67,655.22,66.44,653.79
554784442,101.82,651.15,66.49,651.69
554786454,104.19,649.91,70.6,644.39
554788457,108.4,651.19,68.5,648.37
554790457,102.23,645,73.49,642.95
554792458,104.12,653.17,67.3,644.92
554794461,101.55,655.68,74.83,654.23
554796455,98.57,653.34,60.07,648.82
554798456,107.13,649.45,67.8,653.51
554800455,105.4,656.13,66.78,645.27
