CNT	TIME	CX	CY	USER
43491	715.36652	-0.56823	0.595	0
43492	715.38293	-0.56823	0.595	0
43493	715.39941	-0.56823	0.595	0
43494	715.41589	-0.56823	0.595	0
43495	715.43213	-0.56823	0.595	0
43496	715.44867	-0.56823	0.595	0
43497	715.46503	-0.56823	0.595	0
43498	715.48145	-0.56823	0.595	0
43499	715.49792	-0.56823	0.595	0
43500	715.51428	-0.56823	0.595	0
43501	715.53082	-0.56823	0.595	0
43502	715.54712	-0.56823	0.595	0
43503	715.5636	-0.56823	0.595	0
43504	715.58002	-0.56823	0.595	0
43505	715.59644	-0.56823	0.595	0
43506	715.61292	-0.56823	0.595	0
43507	715.62927	-0.56823	0.595	0
43508	715.64569	-0.56823	0.595	0
43509	715.66223	-0.56823	0.595	0
43510	715.67853	-0.56823	0.595	0
43511	715.69489	-0.56823	0.595	0
43512	715.71143	-0.56823	0.595	0
43513	715.72797	-0.56823	0.595	0
43514	715.74445	-0.56823	0.595	0
43515	715.76068	-0.56823	0.595	0
43516	715.77734	-0.56823	0.595	0
43517	715.79376	-0.56823	0.595	0
43518	715.81024	-0.56823	0.595	0
43519	715.8266	-0.56823	0.595	0
43520	715.8429	-0.56823	0.595	0
43521	715.85938	-0.56823	0.595	0
43522	715.87567	-0.56823	0.595	0
43523	715.89203	-0.56823	0.595	0
43524	715.90845	-0.56823	0.595	0
43525	715.92493	-0.56823	0.595	0
43526	715.94128	-0.56823	0.595	0
43527	715.95776	-0.56823	0.595	0
43528	715.97412	-0.56823	0.595	0
43529	715.99054	-0.56823	0.595	0
43530	716.00702	-0.56823	0.595	0
43531	716.0235	-0.56823	0.595	0
43532	716.04004	-0.56823	0.595	0
43533	716.05652	-0.56823	0.595	0
43534	716.07294	-0.56823	0.595	0
43535	716.08948	-0.56823	0.595	0
43536	716.1059	-0.56823	0.595	0
43537	716.12231	-0.56823	0.595	0
43538	716.13867	-0.56823	0.595	0
43539	716.15491	-0.56823	0.595	0
43540	716.17139	-0.56823	0.595	0
43541	716.18787	-0.56823	0.595	0
43542	716.20441	-0.56823	0.595	0
43543	716.22076	-0.56823	0.595	0
43544	716.23798	-0.56823	0.595	0
43545	716.25385	-0.56823	0.595	0
43546	716.2702	-0.56823	0.595	0
43547	716.28644	-0.56823	0.595	0
43548	716.30292	-0.56823	0.595	0
43549	716.31927	-0.56823	0.595	0
43550	716.33588	-0.56823	0.595	0
43551	716.35236	-0.56823	0.595	0
43552	716.36853	-0.56823	0.595	0
43553	716.38513	-0.56823	0.595	0
43554	716.40149	-0.56823	0.595	0
43555	716.41791	-0.56823	0.595	0
43556	716.43445	-0.56823	0.595	0
43557	716.45068	-0.56823	0.595	0
43558	716.46704	-0.56823	0.595	0
43559	716.48358	-0.56823	0.595	0
43560	716.49988	-0.56823	0.595	0
43561	716.51636	-0.56823	0.595	0
43562	716.53284	-0.56823	0.595	0
43563	716.54919	-0.56823	0.595	0
43564	716.5661	-0.56823	0.595	0
43565	716.58209	-0.56823	0.595	0
43566	716.59857	-0.56823	0.595	0
43567	716.61505	-0.56823	0.595	0
43568	716.63147	-0.56823	0.595	0
43569	716.64795	-0.56823	0.595	0
43570	716.66443	-0.56823	0.595	0
43571	716.68079	-0.56823	0.595	0
43572	716.69714	-0.56823	0.595	0
43573	716.7135	-0.56823	0.595	0
43574	716.73004	-0.56823	0.595	0
43575	716.74652	-0.56823	0.595	0
43576	716.76294	-0.56823	0.595	0
43577	716.7793	-0.56823	0.595	0
43578	716.79584	-0.56823	0.595	0
43579	716.81219	-0.56823	0.595	0
43580	716.8288	-0.56823	0.595	0
43581	716.84497	-0.56823	0.595	0
43582	716.86163	-0.56823	0.595	0
43583	716.87799	-0.56823	0.595	0
43584	716.89471	-0.56823	0.595	0
43585	716.91071	-0.56823	0.595	0
43586	716.92719	-0.56823	0.595	0
43587	716.9436	-0.56823	0.595	0
43588	716.96008	-0.56823	0.595	0
43589	716.9765	-0.56823	0.595	0
43590	716.99298	-0.56823	0.595	0
43591	717.00946	-0.56823	0.595	0
43592	717.02576	-0.56823	0.595	0
43593	717.04218	-0.56823	0.595	0
43594	717.05859	-0.56823	0.595	0
43595	717.07513	-0.56823	0.595	0
43596	717.09149	-0.56823	0.595	0
43597	717.10803	-0.56823	0.595	0
43598	717.12451	-0.56823	0.595	0
43599	717.14087	-0.56823	0.595	0
43600	717.15741	-0.56823	0.595	0
43601	717.17365	-0.56823	0.595	0
43602	717.19025	-0.56823	0.595	0
43603	717.20654	-0.56823	0.595	0
43604	717.2229	-0.56823	0.595	0
43605	717.23932	-0.56823	0.595	0
43606	717.25574	-0.56823	0.595	0
43607	717.27222	-0.56823	0.595	0
43608	717.28851	-0.56823	0.595	0
43609	717.30511	-0.56823	0.595	0
43610	717.32159	-0.56823	0.595	0
43611	717.33807	-0.56823	0.595	0
43612	717.35425	-0.56823	0.595	0
43613	717.37061	-0.56823	0.595	0
43614	717.38715	-0.56823	0.595	0
43615	717.40363	-0.56823	0.595	0
43616	717.42017	-0.56823	0.595	0
43617	717.43652	-0.56823	0.595	0
43618	717.45294	-0.56823	0.595	0
43619	717.46954	-0.56823	0.595	0
43620	717.48572	-0.56823	0.595	0
43621	717.50195	-0.56823	0.595	0
43622	717.51855	-0.56823	0.595	0
43623	717.53497	-0.56823	0.595	0
43624	717.55157	-0.56823	0.595	0
43625	717.56781	-0.56823	0.595	0
43626	717.58429	-0.56823	0.595	0
43627	717.60077	-0.56823	0.595	0
43628	717.61713	-0.56823	0.595	0
43629	717.63354	-0.56823	0.595	0
43630	717.6499	-0.56823	0.595	0
43631	717.66638	-0.56823	0.595	0
43632	717.68274	-0.56823	0.595	0
43633	717.69922	-0.56823	0.595	0
43634	717.71564	-0.56823	0.595	0
43635	717.73212	-0.56823	0.595	0
43636	717.74847	-0.56823	0.595	0
43637	717.76495	-0.56823	0.595	0
43638	717.78137	-0.56823	0.595	0
43639	717.79791	-0.56823	0.595	0
43640	717.81433	-0.56823	0.595	0
43641	717.83069	-0.56823	0.595	0
43642	717.84711	-0.56823	0.595	0
43643	717.86353	-0.56823	0.595	stop=True
